id,title,author,rating
1,To Kill a Mockingbird,Harper Lee,8
2,1984,George Orwell,9
3,Pride and Prejudice,Jane Austen,7
4,The Great Gatsby,F. Scott Fitzgerald,8
5,Moby-Dick,Herman Melville,7
6,War and Peace,Leo Tolstoy,9
7,The Catcher in the Rye,J.D. Salinger,8
8,The Hobbit,J.R.R. Tolkien,9
9,Ulysses,James Joyce,6
10,The Odyssey,Homer,8
11,The Divine Comedy,Dante Alighieri,7
12,Crime and Punishment,Fyodor Dostoevsky,9
13,The Brothers Karamazov,Fyodor Dostoevsky,9
14,Brave New World,Aldous Huxley,8
15,Jane Eyre,Charlotte Brontë,7
16,Wuthering Heights,Emily Brontë,7
17,The Iliad,Homer,8
18,Les Misérables,Victor Hugo,9
19,Anna Karenina,Leo Tolstoy,9
20,Madame Bovary,Gustave Flaubert,7
21,The Count of Monte Cristo,Alexandre Dumas,8
22,The Grapes of Wrath,John Steinbeck,8
23,Great Expectations,Charles Dickens,7
24,A Tale of Two Cities,Charles Dickens,8
25,The Scarlet Letter,Nathaniel Hawthorne,7
26,Frankenstein,Mary Shelley,8
27,Dracula,Bram Stoker,8
28,Don Quixote,Miguel de Cervantes,7
29,Moby-Dick,Herman Melville,7
30,Paradise Lost,John Milton,7